                       0,        1.37149957732169,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0
        1.37149957732169,     -0.0249210865405201,        1.21647265595027,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0
                       0,        1.21647265595027,     -0.0224189900748726,       0.736113396704911,                       0,                       0,                       0,                       0,                       0,      0.0138725030389841,                       0,                       0
                       0,                       0,       0.736113396704911,   -0.000453648272133359,       0.586381052799234,                       0,                       0,                       0,     -0.0731938311068717,                       0,                       0,                       0
                       0,                       0,                       0,       0.586381052799234,     -0.0014784372816089,       0.445568698207387,                       0,     -0.0513615049954215,                       0,                       0,                       0,                       0
                       0,                       0,                       0,                       0,       0.445568698207387,   -0.000427710687202839,       0.788031184023377,                       0,                       0,                       0,                       0,                       0
                       0,                       0,                       0,                       0,                       0,       0.788031184023378,       0.013567434910928,       0.443015385556851,                       0,                       0,                       0,                       0
                       0,                       0,                       0,                       0,     -0.0513615049954214,                       0,       0.443015385556851,      0.0105816571169341,        0.58573301695435,                       0,                       0,                       0
                       0,                       0,                       0,     -0.0731938311068717,                       0,                       0,                       0,        0.58573301695435,    4.65057439171961e-05,       0.734994063454691,                       0,                       0
                       0,                       0,      0.0138725030389841,                       0,                       0,                       0,                       0,                       0,       0.734994063454694,     -0.0109188483660742,        1.21687974956534,                       0
                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,        1.21687974956534,     -0.0205045194622842,        1.37149957730881
                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,                       0,        1.37149957730881,                       0
